Survived,Pclass,Sex,Age,SibSp,Parch,Fare
1.0,3.0,0.0,33.0,3.0,0.0,15.85
0.0,3.0,1.0,16.0,1.0,3.0,34.375
0.0,3.0,1.0,29.09263367487317,0.0,0.0,8.05
1.0,1.0,0.0,23.0,3.0,2.0,263.0
0.0,3.0,1.0,24.0,0.0,0.0,8.05
0.0,3.0,1.0,29.0,0.0,0.0,8.05
0.0,3.0,1.0,20.0,0.0,0.0,7.8542
0.0,1.0,1.0,46.0,1.0,0.0,61.175
0.0,3.0,1.0,26.0,1.0,2.0,20.575
0.0,3.0,1.0,59.0,0.0,0.0,7.25
0.0,3.0,1.0,29.09263367487317,0.0,0.0,8.05
0.0,1.0,1.0,71.0,0.0,0.0,34.6542
1.0,1.0,1.0,23.0,0.0,1.0,63.3583
1.0,2.0,0.0,34.0,0.0,1.0,23.0
0.0,2.0,1.0,34.0,1.0,0.0,26.0
0.0,3.0,0.0,28.0,0.0,0.0,7.8958
0.0,3.0,1.0,29.09475312766624,0.0,0.0,7.8958
0.0,1.0,1.0,21.0,0.0,1.0,77.2875
0.0,3.0,1.0,33.0,0.0,0.0,8.6542
0.0,3.0,1.0,37.0,2.0,0.0,7.925
0.0,3.0,1.0,28.0,0.0,0.0,7.8958
1.0,3.0,0.0,21.0,0.0,0.0,7.65
1.0,3.0,1.0,22.706343035518678,0.0,0.0,7.775
0.0,3.0,1.0,38.0,0.0,0.0,7.8958
1.0,3.0,0.0,18.56577549252922,1.0,0.0,24.15
0.0,1.0,1.0,47.0,0.0,0.0,52.0
0.0,3.0,0.0,14.5,1.0,0.0,14.4542
0.0,3.0,1.0,22.0,0.0,0.0,8.05
0.0,3.0,0.0,20.0,1.0,0.0,9.825
0.0,3.0,0.0,17.0,0.0,0.0,14.4583
0.0,3.0,1.0,21.0,0.0,0.0,7.925
0.0,3.0,1.0,70.5,0.0,0.0,7.75
0.0,2.0,1.0,29.0,1.0,0.0,21.0
0.0,1.0,1.0,24.0,0.0,1.0,247.5208
0.0,3.0,0.0,2.0,4.0,2.0,31.275
0.0,2.0,1.0,21.0,2.0,0.0,73.5
0.0,3.0,1.0,29.09263367487317,0.0,0.0,8.05
0.0,2.0,1.0,32.5,1.0,0.0,30.0708
1.0,2.0,0.0,32.5,0.0,0.0,13.0
0.0,1.0,1.0,54.0,0.0,1.0,77.2875
1.0,3.0,1.0,12.0,1.0,0.0,11.2417
0.0,3.0,1.0,29.096757123886924,0.0,0.0,7.75
1.0,3.0,1.0,24.0,0.0,0.0,7.1417
1.0,3.0,0.0,17.745020101025233,1.0,1.0,22.3583
0.0,3.0,1.0,45.0,0.0,0.0,6.975
0.0,3.0,1.0,33.0,0.0,0.0,7.8958
0.0,3.0,1.0,20.0,0.0,0.0,7.05
0.0,3.0,0.0,47.0,1.0,0.0,14.5
1.0,2.0,0.0,29.0,1.0,0.0,26.0
0.0,2.0,1.0,25.0,0.0,0.0,13.0
0.0,2.0,1.0,23.0,0.0,0.0,15.0458
1.0,1.0,0.0,19.0,0.0,2.0,26.2833
0.0,1.0,1.0,37.0,1.0,0.0,53.1
0.0,3.0,1.0,16.0,0.0,0.0,9.2167
0.0,1.0,1.0,24.0,0.0,0.0,79.2
0.0,3.0,0.0,27.336664430313615,0.0,2.0,15.2458
1.0,3.0,0.0,22.0,0.0,0.0,7.75
1.0,3.0,0.0,24.0,1.0,0.0,15.85
0.0,3.0,1.0,19.0,0.0,0.0,6.75
0.0,2.0,1.0,18.0,0.0,0.0,11.5
0.0,2.0,1.0,19.0,1.0,1.0,36.75
1.0,3.0,1.0,27.0,0.0,0.0,7.7958
0.0,3.0,0.0,9.0,2.0,2.0,34.375
0.0,2.0,1.0,36.5,0.0,2.0,26.0
0.0,2.0,1.0,42.0,0.0,0.0,13.0
0.0,2.0,1.0,51.0,0.0,0.0,12.525
1.0,1.0,0.0,22.0,1.0,0.0,66.6
0.0,3.0,1.0,55.5,0.0,0.0,8.05
0.0,3.0,1.0,40.5,0.0,2.0,14.5
0.0,3.0,1.0,29.102770487031982,0.0,0.0,7.3125
0.0,1.0,1.0,51.0,0.0,1.0,61.3792
1.0,3.0,0.0,16.0,0.0,0.0,7.7333
0.0,3.0,1.0,30.0,0.0,0.0,8.05
0.0,3.0,1.0,29.08421496647009,0.0,0.0,8.6625
0.0,3.0,1.0,-5.03700347167937,8.0,2.0,69.55
0.0,3.0,1.0,44.0,0.0,1.0,16.1
1.0,2.0,0.0,40.0,0.0,0.0,15.75
0.0,3.0,1.0,26.0,0.0,0.0,7.775
0.0,3.0,1.0,17.0,0.0,0.0,8.6625
0.0,3.0,1.0,1.0,4.0,1.0,39.6875
1.0,3.0,1.0,9.0,0.0,2.0,20.525
1.0,1.0,0.0,36.82215503839182,0.0,1.0,55.0
0.0,3.0,0.0,45.0,1.0,4.0,27.9
0.0,1.0,1.0,44.42353863261043,0.0,0.0,25.925
0.0,3.0,1.0,28.0,0.0,0.0,56.4958
0.0,1.0,1.0,61.0,0.0,0.0,33.5
0.0,3.0,1.0,4.0,4.0,1.0,29.125
1.0,3.0,0.0,1.0,1.0,1.0,11.1333
0.0,3.0,1.0,21.0,0.0,0.0,7.925
0.0,1.0,1.0,56.0,0.0,0.0,30.6958
0.0,3.0,1.0,18.0,1.0,1.0,7.8542
0.0,3.0,1.0,16.160274805514533,3.0,1.0,25.4667
0.0,1.0,0.0,50.0,0.0,0.0,28.7125
0.0,2.0,1.0,30.0,0.0,0.0,13.0
0.0,3.0,1.0,36.0,0.0,0.0,0.0
0.0,3.0,0.0,-5.003303661200746,8.0,2.0,69.55
0.0,2.0,1.0,36.78471676195563,0.0,0.0,15.05
0.0,3.0,1.0,9.0,4.0,2.0,31.3875
1.0,2.0,1.0,1.0,2.0,1.0,39.0
1.0,3.0,0.0,4.0,0.0,2.0,22.025
0.0,1.0,1.0,44.09263184925666,0.0,0.0,50.0
1.0,3.0,0.0,18.684668272425796,1.0,0.0,15.5
1.0,1.0,1.0,45.0,0.0,0.0,26.55
0.0,3.0,1.0,40.0,1.0,1.0,15.5
0.0,3.0,1.0,36.0,0.0,0.0,7.8958
1.0,2.0,0.0,32.0,0.0,0.0,13.0
0.0,2.0,1.0,19.0,0.0,0.0,13.0
1.0,3.0,0.0,19.0,1.0,0.0,7.8542
1.0,2.0,1.0,3.0,1.0,1.0,26.0
1.0,1.0,0.0,44.0,0.0,0.0,27.7208
1.0,1.0,0.0,58.0,0.0,0.0,146.5208
0.0,3.0,1.0,29.096757123886924,0.0,0.0,7.75
0.0,3.0,1.0,42.0,0.0,1.0,8.4042
1.0,3.0,0.0,22.740386466748447,0.0,0.0,7.75
0.0,2.0,0.0,24.0,0.0,0.0,13.0
0.0,3.0,1.0,28.0,0.0,0.0,9.5
0.0,3.0,1.0,-5.03700347167937,8.0,2.0,69.55
0.0,3.0,1.0,34.0,0.0,0.0,6.4958
0.0,3.0,1.0,45.5,0.0,0.0,7.225
1.0,3.0,1.0,18.0,0.0,0.0,8.05
0.0,3.0,0.0,2.0,0.0,1.0,10.4625
0.0,3.0,1.0,32.0,1.0,0.0,15.85
1.0,3.0,1.0,26.0,0.0,0.0,18.7875
1.0,3.0,0.0,16.0,0.0,0.0,7.75
1.0,1.0,1.0,40.0,0.0,0.0,31.0
0.0,3.0,1.0,24.0,0.0,0.0,7.05
1.0,2.0,0.0,35.0,0.0,0.0,21.0
0.0,3.0,1.0,22.0,0.0,0.0,7.25
0.0,2.0,1.0,30.0,0.0,0.0,13.0
0.0,3.0,1.0,25.147561362419587,1.0,0.0,7.75
1.0,1.0,0.0,31.0,1.0,0.0,113.275
1.0,3.0,0.0,27.0,0.0,0.0,7.925
0.0,2.0,1.0,42.0,1.0,0.0,27.0
1.0,1.0,0.0,32.0,0.0,0.0,76.2917
0.0,2.0,1.0,30.0,0.0,0.0,10.5
1.0,3.0,1.0,16.0,0.0,0.0,8.05
0.0,2.0,1.0,27.0,0.0,0.0,13.0
0.0,3.0,1.0,51.0,0.0,0.0,8.05
0.0,3.0,1.0,29.09475312766624,0.0,0.0,7.8958
1.0,1.0,1.0,38.0,1.0,0.0,90.0
0.0,3.0,1.0,22.0,0.0,0.0,9.35
1.0,2.0,1.0,19.0,0.0,0.0,10.5
0.0,3.0,1.0,20.5,0.0,0.0,7.25
0.0,2.0,1.0,18.0,0.0,0.0,13.0
0.0,3.0,0.0,16.193974615993156,3.0,1.0,25.4667
1.0,1.0,0.0,35.0,1.0,0.0,83.475
0.0,3.0,1.0,29.0,0.0,0.0,7.775
0.0,2.0,1.0,59.0,0.0,0.0,13.5
1.0,3.0,0.0,5.0,4.0,2.0,31.3875
0.0,2.0,1.0,24.0,0.0,0.0,10.5
0.0,3.0,0.0,29.13320590037472,0.0,0.0,7.55
0.0,2.0,1.0,44.0,1.0,0.0,26.0
1.0,2.0,0.0,8.0,0.0,2.0,26.25
0.0,2.0,1.0,19.0,0.0,0.0,10.5
0.0,2.0,1.0,33.0,0.0,0.0,12.275
0.0,3.0,0.0,25.089113083304845,1.0,0.0,14.4542
1.0,3.0,0.0,18.684668272425796,1.0,0.0,15.5
0.0,2.0,1.0,29.0,0.0,0.0,10.5
0.0,3.0,1.0,22.0,0.0,0.0,7.125
0.0,3.0,1.0,30.0,0.0,0.0,7.225
0.0,1.0,1.0,44.0,2.0,0.0,90.0
0.0,3.0,0.0,25.0,0.0,0.0,7.775
1.0,2.0,0.0,24.0,0.0,2.0,14.5
1.0,1.0,1.0,37.0,1.0,1.0,52.5542
0.0,2.0,1.0,54.0,1.0,0.0,26.0
0.0,3.0,1.0,29.10362953890985,0.0,0.0,7.25
0.0,3.0,0.0,29.0,1.0,1.0,10.4625
0.0,1.0,1.0,62.0,0.0,0.0,26.55
0.0,3.0,1.0,30.0,1.0,0.0,16.1
0.0,3.0,0.0,41.0,0.0,2.0,20.2125
1.0,3.0,0.0,29.0,0.0,2.0,15.2458
1.0,1.0,0.0,37.33491215477946,0.0,0.0,79.2
1.0,1.0,0.0,30.0,0.0,0.0,86.5
1.0,1.0,0.0,35.0,0.0,0.0,512.3292
1.0,2.0,0.0,50.0,0.0,1.0,26.0
0.0,3.0,1.0,29.096757123886924,0.0,0.0,7.75
1.0,3.0,1.0,3.0,4.0,2.0,31.3875
0.0,1.0,1.0,52.0,1.0,1.0,79.65
0.0,1.0,1.0,40.0,0.0,0.0,0.0
0.0,3.0,0.0,29.130456934365547,0.0,0.0,7.75
0.0,2.0,1.0,36.0,0.0,0.0,10.5
0.0,3.0,1.0,16.0,4.0,1.0,39.6875
1.0,3.0,1.0,25.0,1.0,0.0,7.775
1.0,1.0,0.0,58.0,0.0,1.0,153.4625
1.0,1.0,0.0,35.0,0.0,0.0,135.6333
0.0,1.0,1.0,44.35378362012776,0.0,0.0,31.0
1.0,3.0,1.0,25.0,0.0,0.0,0.0
1.0,2.0,0.0,41.0,0.0,1.0,19.5
0.0,1.0,1.0,37.0,0.0,1.0,29.7
1.0,3.0,0.0,22.740386466748447,0.0,0.0,7.75
1.0,1.0,0.0,63.0,1.0,0.0,77.9583
0.0,3.0,0.0,45.0,0.0,0.0,7.75
0.0,2.0,1.0,36.99157645414562,0.0,0.0,0.0
0.0,3.0,1.0,7.0,4.0,1.0,29.125
1.0,3.0,0.0,35.0,1.0,1.0,20.25
0.0,3.0,1.0,65.0,0.0,0.0,7.75
0.0,3.0,1.0,28.0,0.0,0.0,7.8542
0.0,3.0,1.0,16.0,0.0,0.0,9.5
1.0,3.0,1.0,19.0,0.0,0.0,8.05
0.0,1.0,1.0,44.422507770356994,0.0,0.0,26.0
0.0,3.0,1.0,33.0,0.0,0.0,8.6625
1.0,3.0,1.0,30.0,0.0,0.0,9.5
0.0,3.0,1.0,22.0,0.0,0.0,7.8958
1.0,2.0,1.0,42.0,0.0,0.0,13.0
1.0,3.0,0.0,22.0,0.0,0.0,7.75
1.0,1.0,0.0,26.0,0.0,0.0,78.85
1.0,1.0,0.0,19.0,1.0,0.0,91.0792
0.0,2.0,1.0,36.0,0.0,0.0,12.875
0.0,3.0,0.0,24.0,0.0,0.0,8.85
0.0,3.0,1.0,24.0,0.0,0.0,7.8958
0.0,1.0,1.0,44.3988556668141,0.0,0.0,27.7208
0.0,3.0,1.0,23.5,0.0,0.0,7.2292
0.0,1.0,0.0,2.0,1.0,2.0,151.55
1.0,1.0,1.0,37.97058556753358,0.0,0.0,30.5
1.0,1.0,0.0,50.0,0.0,1.0,247.5208
1.0,3.0,0.0,22.740386466748447,0.0,0.0,7.75
1.0,3.0,1.0,14.595250267624522,2.0,0.0,23.25
0.0,3.0,1.0,19.0,0.0,0.0,0.0
1.0,2.0,0.0,30.465457145940942,0.0,0.0,12.35
0.0,3.0,1.0,29.09263367487317,0.0,0.0,8.05
1.0,1.0,1.0,0.92,1.0,2.0,151.55
1.0,1.0,0.0,36.89943058098788,0.0,0.0,110.8833
1.0,1.0,0.0,17.0,1.0,0.0,108.9
0.0,2.0,1.0,30.0,1.0,0.0,24.0
1.0,1.0,0.0,30.0,0.0,0.0,56.9292
1.0,1.0,0.0,24.0,0.0,0.0,83.1583
1.0,1.0,0.0,18.0,2.0,2.0,262.375
0.0,2.0,0.0,26.0,1.0,1.0,26.0
0.0,3.0,1.0,28.0,0.0,0.0,7.8958
0.0,2.0,1.0,43.0,1.0,1.0,26.25
1.0,3.0,0.0,26.0,0.0,0.0,7.8542
1.0,2.0,0.0,24.0,1.0,0.0,26.0
0.0,2.0,1.0,54.0,0.0,0.0,14.0
1.0,1.0,0.0,31.0,0.0,2.0,164.8667
1.0,1.0,0.0,40.0,1.0,1.0,134.5
0.0,3.0,1.0,22.0,0.0,0.0,7.25
0.0,3.0,1.0,27.0,0.0,0.0,7.8958
1.0,2.0,0.0,30.0,0.0,0.0,12.35
1.0,2.0,0.0,22.0,1.0,1.0,29.0
0.0,3.0,1.0,-5.03700347167937,8.0,2.0,69.55
1.0,1.0,0.0,36.0,0.0,0.0,135.6333
0.0,3.0,1.0,61.0,0.0,0.0,6.2375
1.0,2.0,0.0,36.0,0.0,0.0,13.0
1.0,3.0,0.0,31.0,1.0,1.0,20.525
1.0,1.0,0.0,16.0,0.0,1.0,57.9792
1.0,3.0,0.0,14.628950078103145,2.0,0.0,23.25
0.0,1.0,1.0,45.5,0.0,0.0,28.5
0.0,1.0,1.0,38.0,0.0,1.0,153.4625
0.0,3.0,1.0,16.0,2.0,0.0,18.0
1.0,1.0,0.0,32.637310397315765,1.0,0.0,133.65
0.0,3.0,1.0,29.09475312766624,0.0,0.0,7.8958
0.0,1.0,1.0,29.0,1.0,0.0,66.6
1.0,1.0,0.0,41.0,0.0,0.0,134.5
1.0,3.0,1.0,45.0,0.0,0.0,8.05
0.0,1.0,1.0,45.0,0.0,0.0,35.5
1.0,2.0,1.0,2.0,1.0,1.0,26.0
1.0,1.0,0.0,24.0,3.0,2.0,263.0
0.0,2.0,1.0,28.0,0.0,0.0,13.0
0.0,2.0,1.0,25.0,0.0,0.0,13.0
0.0,2.0,1.0,36.0,0.0,0.0,13.0
1.0,2.0,0.0,24.0,0.0,0.0,13.0
1.0,2.0,0.0,40.0,0.0,0.0,13.0
1.0,3.0,0.0,18.676421374398288,1.0,0.0,16.1
1.0,3.0,1.0,3.0,1.0,1.0,15.9
0.0,3.0,1.0,42.0,0.0,0.0,8.6625
0.0,3.0,1.0,23.0,0.0,0.0,9.225
0.0,1.0,1.0,44.29880429994437,0.0,0.0,35.0
0.0,3.0,1.0,15.0,1.0,1.0,7.2292
0.0,3.0,1.0,25.0,1.0,0.0,17.8
0.0,3.0,1.0,29.103973159660995,0.0,0.0,7.225
0.0,3.0,1.0,28.0,0.0,0.0,9.5
1.0,1.0,0.0,22.0,0.0,1.0,55.0
0.0,2.0,0.0,38.0,0.0,0.0,13.0
1.0,3.0,0.0,22.738610634706525,0.0,0.0,7.8792
1.0,3.0,0.0,22.738610634706525,0.0,0.0,7.8792
0.0,3.0,1.0,40.0,1.0,4.0,27.9
0.0,2.0,1.0,29.0,1.0,0.0,27.7208
0.0,3.0,0.0,45.0,0.0,1.0,14.4542
0.0,3.0,1.0,35.0,0.0,0.0,7.05
0.0,3.0,1.0,25.041038929564277,1.0,0.0,15.5
0.0,3.0,1.0,30.0,0.0,0.0,7.25
1.0,1.0,0.0,60.0,1.0,0.0,75.25
1.0,3.0,0.0,22.747544774236324,0.0,0.0,7.2292
1.0,3.0,0.0,22.740386466748447,0.0,0.0,7.75
1.0,1.0,0.0,24.0,0.0,0.0,69.3
1.0,1.0,1.0,25.0,1.0,0.0,55.4417
0.0,3.0,1.0,18.0,1.0,0.0,6.4958
0.0,3.0,1.0,19.0,0.0,0.0,8.05
0.0,1.0,1.0,22.0,0.0,0.0,135.6333
0.0,3.0,0.0,3.0,3.0,1.0,21.075
1.0,1.0,0.0,33.34488325221193,1.0,0.0,82.1708
1.0,3.0,0.0,22.0,0.0,0.0,7.25
0.0,1.0,1.0,27.0,0.0,2.0,211.5
0.0,3.0,1.0,20.0,0.0,0.0,4.0125
0.0,3.0,1.0,19.0,0.0,0.0,7.775
1.0,1.0,0.0,42.0,0.0,0.0,227.525
1.0,3.0,0.0,1.0,0.0,2.0,15.7417
0.0,3.0,1.0,32.0,0.0,0.0,7.925
1.0,1.0,0.0,35.0,1.0,0.0,52.0
0.0,3.0,1.0,29.09475312766624,0.0,0.0,7.8958
0.0,2.0,1.0,18.0,0.0,0.0,73.5
0.0,3.0,1.0,1.0,5.0,2.0,46.9
1.0,2.0,0.0,36.0,0.0,0.0,13.0
0.0,3.0,1.0,29.09704301635188,0.0,0.0,7.7292
1.0,2.0,0.0,17.0,0.0,0.0,12.0
1.0,1.0,1.0,36.0,1.0,2.0,120.0
1.0,3.0,1.0,21.0,0.0,0.0,7.7958
0.0,3.0,1.0,28.0,2.0,0.0,7.925
1.0,1.0,0.0,23.0,1.0,0.0,113.275
1.0,3.0,0.0,24.0,0.0,2.0,16.7
0.0,3.0,1.0,22.0,0.0,0.0,7.7958
0.0,3.0,0.0,31.0,0.0,0.0,7.8542
0.0,2.0,1.0,46.0,0.0,0.0,26.0
0.0,2.0,1.0,23.0,0.0,0.0,10.5
1.0,2.0,0.0,28.0,0.0,0.0,12.65
1.0,3.0,1.0,39.0,0.0,0.0,7.925
0.0,3.0,1.0,26.0,0.0,0.0,8.05
0.0,3.0,0.0,21.0,1.0,0.0,9.825
0.0,3.0,1.0,28.0,1.0,0.0,15.85
0.0,3.0,0.0,20.0,0.0,0.0,8.6625
0.0,2.0,1.0,34.0,1.0,0.0,21.0
0.0,3.0,1.0,51.0,0.0,0.0,7.75
1.0,2.0,1.0,3.0,1.0,1.0,18.75
0.0,3.0,1.0,21.0,0.0,0.0,7.775
0.0,3.0,0.0,16.193974615993156,3.0,1.0,25.4667
0.0,3.0,1.0,29.09475312766624,0.0,0.0,7.8958
0.0,3.0,1.0,29.109013388838807,0.0,0.0,6.8583
1.0,1.0,0.0,33.0,1.0,0.0,90.0
0.0,2.0,1.0,36.99157645414562,0.0,0.0,0.0
1.0,3.0,1.0,44.0,0.0,0.0,7.925
0.0,3.0,0.0,29.126333485351793,0.0,0.0,8.05
1.0,2.0,0.0,34.0,1.0,1.0,32.5
1.0,2.0,0.0,18.0,0.0,2.0,13.0
0.0,2.0,1.0,30.0,0.0,0.0,13.0
0.0,3.0,0.0,10.0,0.0,2.0,24.15
0.0,3.0,1.0,29.09475312766624,0.0,0.0,7.8958
0.0,3.0,1.0,21.0,0.0,0.0,7.7333
0.0,3.0,1.0,29.0,0.0,0.0,7.875
0.0,3.0,0.0,28.0,1.0,1.0,14.4
0.0,3.0,1.0,18.0,1.0,1.0,20.2125
0.0,3.0,1.0,29.10362953890985,0.0,0.0,7.25
1.0,2.0,0.0,28.0,1.0,0.0,26.0
1.0,2.0,0.0,19.0,0.0,0.0,26.0
0.0,3.0,1.0,29.096757123886924,0.0,0.0,7.75
1.0,3.0,1.0,32.0,0.0,0.0,8.05
1.0,1.0,1.0,28.0,0.0,0.0,26.55
1.0,3.0,0.0,18.676421374398288,1.0,0.0,16.1
1.0,2.0,0.0,42.0,1.0,0.0,26.0
0.0,3.0,1.0,17.0,0.0,0.0,7.125
0.0,1.0,1.0,50.0,1.0,0.0,55.9
1.0,1.0,0.0,14.0,1.0,2.0,120.0
0.0,3.0,0.0,21.0,2.0,2.0,34.375
1.0,2.0,0.0,24.0,2.0,3.0,18.75
0.0,1.0,1.0,64.0,1.0,4.0,263.0
0.0,2.0,1.0,31.0,0.0,0.0,10.5
1.0,2.0,0.0,45.0,1.0,1.0,26.25
0.0,3.0,1.0,20.0,0.0,0.0,9.5
0.0,3.0,1.0,25.0,1.0,0.0,7.775
1.0,2.0,0.0,28.0,0.0,0.0,13.0
1.0,3.0,1.0,22.701704155378206,0.0,0.0,8.1125
1.0,1.0,1.0,4.0,0.0,2.0,81.8583
1.0,2.0,0.0,13.0,0.0,1.0,19.5
1.0,1.0,1.0,34.0,0.0,0.0,26.55
1.0,3.0,0.0,5.0,2.0,1.0,19.2583
1.0,1.0,1.0,52.0,0.0,0.0,30.5
0.0,2.0,1.0,36.0,1.0,2.0,27.75
0.0,3.0,1.0,24.97964489719849,1.0,0.0,19.9667
0.0,1.0,1.0,30.0,0.0,0.0,27.75
1.0,1.0,1.0,49.0,1.0,0.0,89.1042
0.0,3.0,1.0,29.09263367487317,0.0,0.0,8.05
1.0,3.0,1.0,29.0,0.0,0.0,7.8958
0.0,1.0,1.0,65.0,0.0,0.0,26.55
1.0,1.0,0.0,33.761465684690464,1.0,0.0,51.8625
1.0,2.0,0.0,50.0,0.0,0.0,10.5
0.0,3.0,1.0,29.096757123886924,0.0,0.0,7.75
1.0,1.0,1.0,48.0,0.0,0.0,26.55
0.0,3.0,1.0,34.0,0.0,0.0,8.05
0.0,1.0,1.0,47.0,0.0,0.0,38.5
0.0,2.0,1.0,48.0,0.0,0.0,13.0
0.0,3.0,1.0,29.09263367487317,0.0,0.0,8.05
0.0,3.0,1.0,38.0,0.0,0.0,7.05
0.0,2.0,1.0,36.99157645414562,0.0,0.0,0.0
0.0,1.0,1.0,56.0,0.0,0.0,26.55
0.0,3.0,1.0,29.09710074463807,0.0,0.0,7.725
1.0,3.0,0.0,0.75,2.0,1.0,19.2583
0.0,3.0,1.0,29.10362953890985,0.0,0.0,7.25
0.0,3.0,1.0,38.0,0.0,0.0,8.6625
1.0,2.0,0.0,33.0,1.0,2.0,27.75
1.0,2.0,0.0,23.0,0.0,0.0,13.7917
0.0,3.0,0.0,22.0,0.0,0.0,9.8375
0.0,1.0,1.0,44.06514218916497,0.0,0.0,52.0
0.0,2.0,1.0,34.0,1.0,0.0,21.0
0.0,3.0,1.0,29.0,1.0,0.0,7.0458
